run_number,date,run_mode,url_file,total_urls_processed,total_documents_captured,new_diff_records,issue_count,success_zero_docs_count,fetch_failed_status_count,fetch_error_count,browser_fallback_enabled,output_file,raw_file,issues_file
55,2026-06-03 10:17:54,test,test_urls.csv,1,30,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
56,2026-06-03 10:27:15,test,test_urls.csv,1,72,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
57,2026-06-03 19:08:48,full,documents_p1.csv,11,370,1,0,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
58,2026-06-03 19:20:44,full,documents_p2.csv,66,1723,0,8,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
59,2026-06-04 08:17:31,test,test_urls.csv,1,36,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
60,2026-06-04 17:59:12,full,documents_p1.csv,11,370,0,0,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
61,2026-06-04 18:10:44,full,documents_p2.csv,66,2613,46,2,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
62,2026-06-05 08:26:17,test,test_urls.csv,1,31,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
63,2026-06-05 17:29:00,full,documents_p1.csv,11,370,0,0,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
64,2026-06-05 17:40:22,full,documents_p2.csv,66,2863,9,2,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
65,2026-06-05 21:31:37,test,test_urls.csv,2,66,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
66,2026-06-06 06:37:21,test,test_urls.csv,1,306,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
67,2026-06-06 06:48:00,test,test_urls.csv,2,513,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
68,2026-06-06 16:40:32,full,documents_p1.csv,11,370,0,0,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
69,2026-06-06 16:51:52,full,documents_p2.csv,66,2407,2,3,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
70,2026-06-07 16:52:54,full,documents_p1.csv,11,370,0,0,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
71,2026-06-08 18:11:19,full,documents_p1.csv,11,367,0,1,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
